OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
2001,495837,98,2015-01-29T00:00:00.000Z,,routine
2002,496559,98,2015-01-22T00:00:00.000Z,,routine
2003,500830,98,2015-01-27T00:00:00.000Z,,routine
2004,5081EFD3-D713-42DB-F1166425DEDF9D97,97.5,2015-01-26T00:00:00.000Z,,routine
2005,85F06B1C-EBE3-3260-091CE8D38333A5B4,98,2015-01-27T00:00:00.000Z,,routine
2006,8C0C111F-1056-1049-91D511DCF27A5245,98,2015-01-30T00:00:00.000Z,,routine
2007,A895103E-C654-E507-09D9DD7A9E985366,98,2015-01-28T00:00:00.000Z,,routine
2008,B710C163-C358-8BDF-BDBAE165451472E4,97.5,2015-01-26T00:00:00.000Z,,routine
2009,E237CE85-BD32-AFDF-C3697AE13159AC92,97.5,2015-01-27T00:00:00.000Z,,routine
2010,EF89241B-E261-9B19-98A6C46F629F0FF2,98,2015-01-27T00:00:00.000Z,,routine
2011,FD2109E8-EAAB-776D-B9138860C2F741C3,97.5,2015-01-30T00:00:00.000Z,,routine
2012,0101A22A-D384-15BD-CA44676FD691DEA0,92,2015-02-04T00:00:00.000Z,,routine
2013,19FD926A-9108-311A-BFB959984466C1C6,90,2015-02-03T00:00:00.000Z,,routine
2014,20039F25-FC18-F765-177597B63F0389FC,92,2015-01-24T00:00:00.000Z,,routine
2015,085BF69A-3048-983B-2641CA581B73E5BF,98.5,2015-01-29T00:00:00.000Z,,routine
2016,45067401-D5A3-7CF2-E359153BE218CEF9,99,2015-01-28T00:00:00.000Z,,routine
2017,498239,98.5,2015-01-23T00:00:00.000Z,,routine
2018,498386,98.5,2015-01-26T00:00:00.000Z,,routine
2019,498698,99,2015-01-26T00:00:00.000Z,,routine
2020,500627,99.5,2015-01-30T00:00:00.000Z,,routine
2021,500629,99.5,2015-01-27T00:00:00.000Z,,routine
2022,501181,98.5,2015-01-29T00:00:00.000Z,,routine
2023,527812,98.5,2015-01-26T00:00:00.000Z,,routine
2024,52E1EDE4-C4C0-8924-7F561331B7E9B01E,99,2015-01-27T00:00:00.000Z,,routine
2025,85D1F1BA-E94D-FBF4-436ACBE890A4D817,99,2015-01-29T00:00:00.000Z,,routine
2026,91BB6ED3-FC60-787A-413B044A1CA4F713,99.5,2015-01-30T00:00:00.000Z,,routine
2027,A5F54DCE-04A4-38A6-FABBAD46090E029F,99,2015-01-21T00:00:00.000Z,,routine
2028,261FC051-CFF5-1C8A-E0B8A0246DC5D440,91,2015-02-02T00:00:00.000Z,,routine
2029,2C672EEC-1422-201B-196AFB77499FF680,90,2015-02-03T00:00:00.000Z,,followup
2030,305E6242-A533-9B34-84D5E2CBEE3570BA,92.5,2015-02-03T00:00:00.000Z,,routine
2031,493909,92.5,2015-01-20T00:00:00.000Z,,routine
2032,495301,92.5,2015-02-03T00:00:00.000Z,,routine
2033,496653,90,2015-02-06T00:00:00.000Z,,routine
2034,497266,90,2015-02-05T00:00:00.000Z,,routine
2035,500278,92.5,2015-02-05T00:00:00.000Z,,routine
2036,AD7BA493-DB82-AFA6-B24F15EE0E87AB86,91,2015-02-20T00:00:00.000Z,,routine
2037,12181BF3-E7D2-14C8-0862573E7432ACC7,93.5,2015-01-26T00:00:00.000Z,,routine
2038,16AB6EA3-170B-1AAE-8C9FFE5DF44F6053,93.5,2015-02-27T00:00:00.000Z,,routine
2039,500387,92.5,2015-02-03T00:00:00.000Z,,routine
2040,501018,87.5,2015-02-04T00:00:00.000Z,,routine
2041,501497,100,2015-01-22T00:00:00.000Z,,routine
2042,501642,84,2015-02-05T00:00:00.000Z,,routine
2043,503952,91.5,2015-01-27T00:00:00.000Z,,routine
2044,508970,92,2015-02-02T00:00:00.000Z,,routine
2045,61233C30-94C0-28F8-B49B58460C1E68E0,87.5,2015-02-06T00:00:00.000Z,,routine
2046,6FA2D452-D7F6-C931-FBD5A8DADA4BA956,90.5,2015-01-27T00:00:00.000Z,,routine
2047,6FBAD1A0-12EC-159B-0D288C042C07B40C,100,2015-02-05T00:00:00.000Z,,routine
2048,82A1C07D-E825-0282-DC1AB51E690FC4B3,88.5,2015-02-02T00:00:00.000Z,,routine
2049,942798F2-CC87-D729-CDDA8402879CCD93,90,2015-01-28T00:00:00.000Z,,routine
2050,9F898565-BC34-6E1F-C00794C6CD87A7C9,92.5,2015-02-05T00:00:00.000Z,,routine
2051,AF169577-C8AD-3AAE-C580595801B8BB8F,100,2015-01-27T00:00:00.000Z,,routine
2052,C795B2F4-9202-8744-B63CFE3BADE81512,92,2015-02-06T00:00:00.000Z,,routine
2053,000D0B7A-3048-98E7-046FBA1DC52B6D55,94,2015-02-06T00:00:00.000Z,,routine
2054,06051288-0BE6-6884-8493B3CB6CA929B8,94,2015-02-05T00:00:00.000Z,,routine
2055,06CE930F-1422-201B-19E1DA19BBC31B7C,93,2015-02-02T00:00:00.000Z,,routine
2056,0FECEB45-B2AE-76E8-77671B9858BA5FD6,93,2015-01-13T00:00:00.000Z,,routine
2057,10059478-C540-1703-0F2CFAA3AD7FFDD8,93.5,2015-02-06T00:00:00.000Z,,routine
2058,2C77A528-1422-201B-19AE9EE01276EBE1,94,2015-02-02T00:00:00.000Z,,routine
2059,48DA5E39-94E3-D184-F20EE0CBF8F9BF6A,94,2015-01-16T00:00:00.000Z,,routine
2060,107A6D1D-103F-C532-FBE5DA646999368F,90,2015-02-19T00:00:00.000Z,,routine
2061,12DAC2A0-BB25-CD7B-E93CD3E7AACF865E,100,2015-02-12T00:00:00.000Z,,routine
2062,14699CE7-16EA-107F-5785A741541502FF,89.5,2015-02-26T00:00:00.000Z,,routine
2063,1571CCDA-CB8C-AB12-DEC2D72C2DC76751,91,2015-02-20T00:00:00.000Z,,routine
2064,161161D6-1749-1282-A416152A629ED0ED,91,2015-02-18T00:00:00.000Z,,routine
2065,495160,92,2015-02-19T00:00:00.000Z,,routine
2066,495202,90,2015-02-11T00:00:00.000Z,,routine
2067,496135,83,2015-01-20T00:00:00.000Z,,routine
2068,496898,91,2015-02-11T00:00:00.000Z,,routine
2069,497789,92,2015-02-23T00:00:00.000Z,,routine
2070,498116,90,2015-02-23T00:00:00.000Z,,routine
2071,501642,90,2015-03-04T00:00:00.000Z,,followup
2072,501775,90,2015-02-23T00:00:00.000Z,,routine
2073,501852,88,2015-03-03T00:00:00.000Z,,routine
2074,501941,82.5,2015-02-26T00:00:00.000Z,,routine
